REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,"Career, technical or professional training certificate","Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931150,1.2.53.1.1.1.4.1,3665
2016,Canada,2016A11124,"Career, technical or professional training certificate","Personal, protective and transportation services [11]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931151,1.2.53.1.1.1.4.2,33400
2016,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007931402,1.3.1.1.1.1.4.1,81845
2016,Canada,2016A11124,"Career, technical or professional training diploma","Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007931403,1.3.1.1.1.1.4.2,38500
2016,Canada,2016A11124,"Career, technical or professional training diploma",Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937324,1.3.2.1.1.1.4.1,1830
2016,Canada,2016A11124,"Career, technical or professional training diploma",Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937325,1.3.2.1.1.1.4.2,35800
2016,Canada,2016A11124,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937450,1.3.4.1.1.1.4.1,4890
2016,Canada,2016A11124,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937451,1.3.4.1.1.1.4.2,29000
2016,Canada,2016A11124,"Career, technical or professional training diploma",Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1007937576,1.3.7.1.1.1.4.1,2140
2016,Canada,2016A11124,"Career, technical or professional training diploma",Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1007937577,1.3.7.1.1.1.4.2,33400
