REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2016,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008094950,1.25.1.1.1.1.4.1,5665
2016,Canada,2016A11124,Doctoral degree,"Total, field of study","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008094951,1.25.1.1.1.1.4.2,66200
2016,Canada,2016A11124,Doctoral degree,Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008100872,1.25.2.1.1.1.4.1,310
2016,Canada,2016A11124,Doctoral degree,Education [1],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008100873,1.25.2.1.1.1.4.2,85700
2016,Canada,2016A11124,Doctoral degree,"Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008100998,1.25.4.1.1.1.4.1,115
2016,Canada,2016A11124,Doctoral degree,"Visual and performing arts, and communications technologies [2]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008100999,1.25.4.1.1.1.4.2,28100
2016,Canada,2016A11124,Doctoral degree,Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101124,1.25.7.1.1.1.4.1,425
2016,Canada,2016A11124,Doctoral degree,Humanities [3],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101125,1.25.7.1.1.1.4.2,52700
2016,Canada,2016A11124,Doctoral degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101250,1.25.16.1.1.1.4.1,1100
2016,Canada,2016A11124,Doctoral degree,Social and behavioral sciences and law [4],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101251,1.25.16.1.1.1.4.2,70500
2016,Canada,2016A11124,Doctoral degree,"Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101376,1.25.24.1.1.1.4.1,185
2016,Canada,2016A11124,Doctoral degree,"Business, management and public administration [5]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101377,1.25.24.1.1.1.4.2,93900
2016,Canada,2016A11124,Doctoral degree,Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101502,1.25.27.1.1.1.4.1,1225
2016,Canada,2016A11124,Doctoral degree,Physical and life sciences and technologies [6],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101503,1.25.27.1.1.1.4.2,55000
2016,Canada,2016A11124,Doctoral degree,"Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101628,1.25.33.1.1.1.4.1,325
2016,Canada,2016A11124,Doctoral degree,"Mathematics, computer and information sciences [7]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101629,1.25.33.1.1.1.4.2,81700
2016,Canada,2016A11124,Doctoral degree,"Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101754,1.25.38.1.1.1.4.1,1190
2016,Canada,2016A11124,Doctoral degree,"Architecture, engineering, and related technologies [8]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101755,1.25.38.1.1.1.4.2,71300
2016,Canada,2016A11124,Doctoral degree,"Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008101880,1.25.46.1.1.1.4.1,200
2016,Canada,2016A11124,Doctoral degree,"Agriculture, natural resources and conservation [9]","Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008101881,1.25.46.1.1.1.4.2,57300
2016,Canada,2016A11124,Doctoral degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008102006,1.25.49.1.1.1.4.1,520
2016,Canada,2016A11124,Doctoral degree,Health and related fields [10],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008102007,1.25.49.1.1.1.4.2,70100
2016,Canada,2016A11124,Doctoral degree,Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1008102258,1.25.58.1.1.1.4.1,70
2016,Canada,2016A11124,Doctoral degree,Other instructional programs [12],"Total, gender",15 to 64 years ,Canadian and international students,Graduates reporting employment income,Median employment income,2018 constant dollars,400,units,0,v1008102259,1.25.58.1.1.1.4.2,59600
